"personenkonto";"rechnungsnr";"buchdatum";"gkonto";"belegnr";"extbelegnr";"belegdatum";"prozent";"steuercode";"buchcode";"betrag";"steuer";"buchsymbol";"konto";"verbuchkz";"gegenbuchkz";"netto";"kost";"text"
200312;"RE-2026-00145";;;00145;"";;;;;-214,00;-42,80;;4008;"A";"E";-214,00;00145;"RE-2026-00145"
200217;"RE-2026-00146";;;00146;"";;;;;-49,66;-9,93;;4000;"A";"E";-49,66;00146;"RE-2026-00146"
200049;"RE-2026-00147";;;00147;"";;;;;-48,34;-9,67;;4000;"A";"E";-48,34;00147;"RE-2026-00147"
200080;"RE-2026-00148";;;00148;"";;;;;-111,74;-22,35;;4000;"A";"E";-111,74;00148;"RE-2026-00148"
200281;"RE-2026-00149";;;00149;"";;;;;-202,82;-40,56;;4000;"A";"E";-202,82;00149;"RE-2026-00149"
200021;"RE-2026-00150";;;00150;"";;;;;-134,08;-26,82;;4000;"A";"E";-134,08;00150;"RE-2026-00150"
200021;"RE-2026-00151";;;00151;"";;;;;-30,00;-6,00;;4007;"A";"E";-30,00;00151;"RE-2026-00151"
200011;"RE-2026-00152";;;00152;"";;;;;-189,40;-36,84;;4013;"A";"E";-189,40;00152;"RE-2026-00152"
200043;"RE-2026-00153";;;00153;"";;;;;-1074,17;-214,83;;4000;"A";"E";-1074,17;00153;"RE-2026-00153"
200022;"RE-2026-00154";;;00154;"";;;;;-134,08;-26,82;;4000;"A";"E";-134,08;00154;"RE-2026-00154"
200007;"RE-2026-00155";;;00155;"";;;;;-55,26;-11,05;;4000;"A";"E";-55,26;00155;"RE-2026-00155"
200085;"RE-2026-00156";;;00156;"";;;;;-316,17;-63,23;;4013;"A";"E";-316,17;00156;"RE-2026-00156"
200263;"RE-2026-00157";;;00157;"";;;;;-59,62;-5,96;;4006;"A";"E";-59,62;00157;"RE-2026-00157"
2000;"RE-2026-00158";;;00158;"";;;;;-28,17;-5,63;;4000;"A";"E";-28,17;00158;"RE-2026-00158"
200023;"RE-2026-00159";;;00159;"Kapuzinerstraße/0100";;;;;-89,76;-17,95;;4000;"A";"E";-89,76;00159;"Kapuzinerstraße/0100"
200251;"RE-2026-00160";;;00160;"";;;;;-574,67;-114,93;;4000;"A";"E";-574,67;00160;"RE-2026-00160"
200263;"RE-2026-00161";;;00161;"";;;;;-29,81;-2,98;;4006;"A";"E";-29,81;00161;"RE-2026-00161"
200158;"RE-2026-00162";;;00162;"";;;;;-1961,13;-392,23;;4000;"A";"E";-1961,13;00162;"RE-2026-00162"
200117;"RE-2026-00163";;;00163;"";;;;;-277,80;-55,56;;4000;"A";"E";-277,80;00163;"RE-2026-00163"
200153;"RE-2026-00164";;;00164;"";;;;;-165,20;-33,04;;4000;"A";"E";-165,20;00164;"RE-2026-00164"
200094;"RE-2026-00165";;;00165;"";;;;;-223,00;-44,60;;4000;"A";"E";-223,00;00165;"RE-2026-00165"
200247;"RE-2026-00166";;;00166;"";;;;;-76,06;-15,21;;4000;"A";"E";-76,06;00166;"RE-2026-00166"
200305;"RE-2026-00167";;;00167;"";;;;;-0,00;0,00;;4000;"A";"E";-0,00;00167;"RE-2026-00167"
2000;"RE-2026-00168";;;00168;"";;;;;-100,00;-20,00;;4001;"A";"E";-100,00;00168;"RE-2026-00168"
